0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,? Summer,01 !,02 !,03 !,Total,? Winter,01 !,02 !,03 !,Total,? Games,01 !,02 !,03 !,Combined total
Afghanistanÿ(AFG),13,0,0,2,2,0,0,0,0,0,13,0,0,2,2
Algeriaÿ(ALG),12,5,2,8,15,3,0,0,0,0,15,5,2,8,15
Argentinaÿ(ARG),23,18,24,28,70,18,0,0,0,0,41,18,24,28,70
Armeniaÿ(ARM),5,1,2,9,12,6,0,0,0,0,11,1,2,9,12
Australasiaÿ(ANZ) [ANZ],2,3,4,5,12,0,0,0,0,0,2,3,4,5,12
Australiaÿ(AUS) [AUS] [Z],25,139,152,177,468,18,5,3,4,12,43,144,155,181,480
Austriaÿ(AUT),26,18,33,35,86,22,59,78,81,218,48,77,111,116,304
Azerbaijanÿ(AZE),5,6,5,15,26,5,0,0,0,0,10,6,5,15,26
Bahamasÿ(BAH),15,5,2,5,12,0,0,0,0,0,15,5,2,5,12
Bahrainÿ(BRN),8,0,0,1,1,0,0,0,0,0,8,0,0,1,1
Barbadosÿ(BAR) [BAR],11,0,0,1,1,0,0,0,0,0,11,0,0,1,1
Belarusÿ(BLR),5,12,24,39,75,6,6,4,5,15,11,18,28,44,90
Belgiumÿ(BEL),25,37,52,53,142,20,1,1,3,5,45,38,53,56,147
Bermudaÿ(BER),17,0,0,1,1,7,0,0,0,0,24,0,0,1,1
Bohemiaÿ(BOH) [BOH] [Z],3,0,1,3,4,0,0,0,0,0,3,0,1,3,4
Botswanaÿ(BOT),9,0,1,0,1,0,0,0,0,0,9,0,1,0,1
Brazilÿ(BRA),21,23,30,55,108,7,0,0,0,0,28,23,30,55,108
British West Indiesÿ(BWI) [BWI],1,0,0,2,2,0,0,0,0,0,1,0,0,2,2
Bulgariaÿ(BUL) [H],19,51,85,78,214,19,1,2,3,6,38,52,87,81,220
Burundiÿ(BDI),5,1,0,0,1,0,0,0,0,0,5,1,0,0,1
Cameroonÿ(CMR),13,3,1,1,5,1,0,0,0,0,14,3,1,1,5
Canadaÿ(CAN),25,59,99,121,279,22,62,56,52,170,47,121,155,173,449
Chileÿ(CHI) [I],22,2,7,4,13,16,0,0,0,0,38,2,7,4,13
Chinaÿ(CHN) [CHN],9,201,146,126,473,10,12,22,19,53,19,213,168,145,526
Colombiaÿ(COL),18,2,6,11,19,1,0,0,0,0,19,2,6,11,19
Costa Ricaÿ(CRC),14,1,1,2,4,6,0,0,0,0,20,1,1,2,4
Ivory Coastÿ(CIV) [CIV],12,0,1,0,1,0,0,0,0,0,12,0,1,0,1
Croatiaÿ(CRO),6,6,7,10,23,7,4,6,1,11,13,10,13,11,34
Cubaÿ(CUB) [Z],19,72,67,70,209,0,0,0,0,0,19,72,67,70,209
Cyprusÿ(CYP),9,0,1,0,1,10,0,0,0,0,19,0,1,0,1
Czech Republicÿ(CZE) [CZE],5,14,15,15,44,6,7,9,8,24,11,21,24,23,68
Czechoslovakiaÿ(TCH) [TCH],16,49,49,45,143,16,2,8,15,25,32,51,57,60,168
Denmarkÿ(DEN) [Z],26,43,68,68,179,13,0,1,0,1,39,43,69,68,180
Djiboutiÿ(DJI) [B],7,0,0,1,1,0,0,0,0,0,7,0,0,1,1
Dominican Republicÿ(DOM),13,3,2,1,6,0,0,0,0,0,13,3,2,1,6
Ecuadorÿ(ECU),13,1,1,0,2,0,0,0,0,0,13,1,1,0,2
Egyptÿ(EGY) [EGY] [Z],21,7,9,10,26,1,0,0,0,0,22,7,9,10,26
Eritreaÿ(ERI),4,0,0,1,1,0,0,0,0,0,4,0,0,1,1
Estoniaÿ(EST),11,9,9,15,33,9,4,2,1,7,20,13,11,16,40
Ethiopiaÿ(ETH),12,21,7,17,45,2,0,0,0,0,14,21,7,17,45
Finlandÿ(FIN),24,101,84,117,302,22,42,62,57,161,46,143,146,174,463
Franceÿ(FRA) [O] [P] [Z],27,202,223,246,671,22,31,31,47,109,49,233,254,293,780
Gabonÿ(GAB),9,0,1,0,1,0,0,0,0,0,9,0,1,0,1
Georgiaÿ(GEO),5,6,5,14,25,6,0,0,0,0,11,6,5,14,25
Germanyÿ(GER) [GER] [Z],15,174,182,217,573,11,78,78,53,209,26,252,260,270,782
United Team of Germanyÿ(EUA) [EUA],3,28,54,36,118,3,8,6,5,19,6,36,60,41,137
East Germanyÿ(GDR) [GDR],5,153,129,127,409,6,39,36,35,110,11,192,165,162,519
West Germanyÿ(FRG) [FRG],5,56,67,81,204,6,11,15,13,39,11,67,82,94,243
Ghanaÿ(GHA) [GHA],13,0,1,3,4,1,0,0,0,0,14,0,1,3,4
Great Britainÿ(GBR) [GBR] [Z],27,236,272,272,780,22,10,4,12,26,49,246,276,284,806
Greeceÿ(GRE) [Z],27,30,42,39,111,18,0,0,0,0,45,30,42,39,111
Grenadaÿ(GRN),8,1,0,0,1,0,0,0,0,0,8,1,0,0,1
Guatemalaÿ(GUA),13,0,1,0,1,1,0,0,0,0,14,0,1,0,1
Guyanaÿ(GUY) [GUY],16,0,0,1,1,0,0,0,0,0,16,0,0,1,1
Haitiÿ(HAI) [J],14,0,1,1,2,0,0,0,0,0,14,0,1,1,2
